@T@,@SCH@,@PARID@,@COSTVAL@,@INCOME@,@MKTVAL@,@APRLAND@,@APRBLDG@,@APRTOT@,@RE@,@ADRNO@,@ADRADD@,@ADRSTR@,@ADRSUF@,@NBHD@,@LUC@,@CLAS@,@LIVU@,@TIEBACK@,@TI@,@TIELANDPC@,@TIEBLDGPC@,@ST@,@TR@,@T@,@LO@,@F@,@UT@,@OFCAR@,@BLDGROS_D@,@BLDGROS_V@,@MSCBLD_V@,@CARD@,@STOR@,@EX@,@ST@,@YRBLT@,@EFFYR@,@RMT@,@FIX@,@FIX@,@B@,@H@,@H@,@F@,@GRA@,@A@,@UNFINAR@,@RECROMA@,@FINBSMT@,@WBF@,@BS@,@MGFA@,@SFLA@,@CD@,@PCTC@,@CON@,@COND@,@CON@,@CNDCMPLX@,@COD@,@INFL@,@ACRES@,@LLINE@,@CARD@,@COD@,@YRBLT@,@AREA@,@G@,@O@,@C@,@UNITS@,@PCTC@,@MEAS@,@MEAS2@,@LLINE@,@CARD@,@COD@,@YRBLT@,@AREA@,@G@,@O@,@C@,@UNITS@,@PCTC@,@MEAS@,@MEAS2@,@LLINE@,@CARD@,@COD@,@YRBLT@,@AREA@,@G@,@O@,@C@,@UNITS@,@PCTC@,@MEAS@,@MEAS2@,@LLINE@,@CARD@,@COD@,@YRBLT@,@AREA@,@G@,@O@,@C@,@UNITS@,@PCTC@,@MEAS@,@MEAS2@,@LLINE@,@CARD@,@COD@,@YRBLT@,@AREA@,@G@,@O@,@C@,@UNITS@,@PCTC@,@MEAS@,@MEAS2@,@LLINE@,@CARD@,@COD@,@YRBLT@,@AREA@,@G@,@O@,@C@,@UNITS@,@PCTC@,@MEAS@,@MEAS2@,@MRAVAL@,@ADJVAL@,@COMP1@,@DATE1@,@PRICE1@,@ADJ1@,@COMP2@,@DATE2@,@PRICE2@,@ADJ2@,@COMP3@,@DATE3@,@PRICE3@,@ADJ3@,@COMP4@,@DATE4@,@PRICE4@,@ADJ4@,@COMP5@,@DATE5@,@PRICE5@,@ADJ5@,@XY_COORD@,@@
@1@,@001@,@34  E  00010@,@469470@,@0@,@358800@,@200800@,@33600@,@234400@,@3@,@27@,@@,@HEDGEWAY@,@CT@,@099@,@2100@,@1@,@1@,@@,@@,@@,@@,@1@,@1@,@1@,@@,@@,@1@,@1@,@@,@@,@@,@1@,@1.0@,@06@,@05@,@1948@,@@,@4@,@1@,@1@,@4@,@3@,@2@,@1@,@C@,@4@,@@,@@,@@,@1@,@@,@1354@,@1896@,@AV@,@100@,@@,@@,@@,@@,@1@,@@,@.2617@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@1091969@,@199515@
@1@,@001@,@34  E  00020@,@408120@,@0@,@298100@,@177600@,@73200@,@250800@,@3@,@4@,@@,@SARATOGA@,@CIR@,@099@,@2100@,@1@,@1@,@@,@@,@@,@@,@1@,@1@,@1@,@@,@@,@1@,@1@,@@,@@,@@,@1@,@1.0@,@06@,@01@,@1997@,@@,@6@,@2@,@0@,@0@,@3@,@2@,@3@,@C@,@1@,@@,@@,@@,@0@,@@,@1244@,@1244@,@AV@,@100@,@@,@@,@@,@@,@1@,@@,@.1784@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@1092046@,@199590@
@1@,@001@,@34  E  00030@,@392280@,@0@,@380300@,@179600@,@88000@,@267600@,@3@,@6@,@@,@SARATOGA@,@CIR@,@099@,@2100@,@1@,@1@,@@,@@,@@,@@,@1@,@1@,@1@,@@,@@,@1@,@1@,@@,@@,@@,@1@,@2.0@,@06@,@09@,@1926@,@@,@7@,@1@,@0@,@4@,@3@,@1@,@7@,@C@,@2@,@@,@@,@@,@1@,@@,@600@,@1365@,@AV@,@100@,@@,@@,@@,@@,@1@,@@,@.1856@,@1@,@1@,@RG1@,@1926@,@216@,@C@,@@,@A@,@1@,@@,@18@,@12@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@1091986@,@199663@
@1@,@001@,@34  E  00040@,@372290@,@0@,@291400@,@146400@,@14000@,@160400@,@3@,@8@,@@,@SARATOGA@,@CIR@,@099@,@2100@,@1@,@1@,@@,@@,@@,@@,@1@,@1@,@1@,@@,@@,@1@,@1@,@@,@@,@@,@1@,@1.0@,@01@,@05@,@1954@,@@,@5@,@1@,@0@,@4@,@3@,@2@,@1@,@C@,@4@,@@,@@,@@,@0@,@@,@960@,@1370@,@AV@,@100@,@@,@@,@@,@@,@1@,@@,@.1620@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@1091928@,@199696@
@1@,@001@,@34  E  00050@,@444290@,@0@,@328300@,@164000@,@56000@,@220000@,@3@,@2@,@@,@LEXINGTON@,@CIR@,@099@,@2100@,@1@,@1@,@@,@@,@@,@@,@1@,@1@,@1@,@@,@@,@1@,@1@,@@,@@,@@,@1@,@2.0@,@01@,@06@,@1937@,@@,@6@,@1@,@1@,@4@,@3@,@4@,@1@,@C+@,@2@,@@,@@,@@,@1@,@@,@720@,@1488@,@AV@,@100@,@@,@@,@@,@@,@1@,@@,@.1837@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@1091883@,@199758@
@1@,@001@,@34  E  00060@,@463090@,@0@,@389500@,@169600@,@61300@,@230900@,@3@,@4@,@@,@LEXINGTON@,@CIR@,@099@,@2100@,@1@,@1@,@@,@@,@@,@@,@1@,@1@,@1@,@20@,@6@,@1@,@1@,@@,@@,@@,@1@,@2.0@,@06@,@09@,@1927@,@@,@7@,@3@,@0@,@4@,@3@,@1@,@3@,@C@,@4@,@@,@318@,@@,@1@,@@,@636@,@2118@,@AV@,@100@,@@,@@,@@,@@,@1@,@@,@.1485@,@1@,@1@,@RG1@,@1927@,@288@,@C@,@@,@A@,@1@,@@,@24@,@12@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@1091948@,@199825@
@1@,@001@,@34  E  00070@,@632580@,@0@,@443600@,@146400@,@136400@,@282800@,@3@,@6@,@@,@LEXINGTON@,@CIR@,@099@,@2100@,@1@,@1@,@@,@@,@@,@@,@1@,@1@,@1@,@20@,@6@,@1@,@1@,@@,@@,@@,@1@,@2.0@,@06@,@06@,@1926@,@@,@7@,@6@,@0@,@4@,@4@,@5@,@3@,@C+@,@2@,@@,@486@,@@,@1@,@@,@648@,@2968@,@AV@,@100@,@@,@@,@@,@@,@1@,@@,@.1543@,@2@,@1@,@RG1@,@2006@,@400@,@C@,@@,@G@,@1@,@@,@20@,@20@,@3@,@1@,@DTP@,@2006@,@352@,@C@,@@,@G@,@1@,@@,@16@,@22@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@1091917@,@199913@
@1@,@001@,@34  E  00080@,@483450@,@0@,@350300@,@179200@,@137600@,@316800@,@3@,@8@,@@,@LEXINGTON@,@CIR@,@099@,@2100@,@1@,@1@,@@,@@,@@,@@,@1@,@1@,@1@,@20@,@6@,@1@,@1@,@@,@@,@@,@1@,@2.0@,@03@,@06@,@1958@,@@,@6@,@2@,@1@,@4@,@3@,@4@,@3@,@C@,@1@,@@,@378@,@@,@1@,@@,@756@,@1862@,@AV@,@100@,@@,@@,@@,@@,@1@,@@,@.1843@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@1091839@,@199946@
@1@,@001@,@34  E  00630@,@423530@,@0@,@302300@,@166400@,@37600@,@204000@,@3@,@20@,@@,@WARNER@,@AVE@,@099@,@2100@,@1@,@1@,@@,@@,@@,@@,@1@,@1@,@1@,@24@,@4@,@1@,@1@,@@,@@,@@,@1@,@2.0@,@06@,@06@,@1936@,@@,@6@,@1@,@1@,@4@,@3@,@1@,@1@,@C+@,@4@,@@,@@,@@,@1@,@@,@754@,@1855@,@AV@,@100@,@@,@@,@@,@@,@1@,@-10@,@.1377@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@1092026@,@198875@
@1@,@001@,@34  E  00660@,@423570@,@0@,@304200@,@133200@,@30000@,@163200@,@3@,@28@,@@,@WARNER@,@AVE@,@099@,@2100@,@1@,@1@,@@,@@,@@,@@,@1@,@1@,@1@,@@,@@,@1@,@1@,@@,@@,@@,@1@,@1.5@,@01@,@05@,@1951@,@@,@6@,@2@,@0@,@4@,@3@,@2@,@1@,@C+@,@1@,@@,@@,@@,@1@,@@,@1014@,@1534@,@AV@,@100@,@@,@@,@@,@@,@1@,@@,@.1377@,@1@,@1@,@RG1@,@1959@,@273@,@C@,@@,@G@,@1@,@@,@21@,@13@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@@,@1092013@,@198934@
